DATE,Volunteers ,# of Volunteers ,Arrival time,Weather,Surf,# of Honu at arrival,Time of first Honu ,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,PAU,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,People Tally,Harassment?,Honu up at other opening?,Number of people less than 15 feet away
6/29/15,Jane,1,2:30,sunny,0-1',3,4:26,3,3,3,3,3,4,4,6,6,6,8,8,12,20,8,8,29,16,16,21,21,27,13,18,20,14,14,35,29,11,12,290,0,,9
6/30/15,"Ian, Kate, Jenny, Jane",4,1:15,sunny,0-1',1,4:15,1,1,1,1,1,2,4,7,8,8,10,12,19,23,29,29,21,23,17,13,30,32,41,32,16,30,35,32,23,20,10,273,0,,0
7/1/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/2/15,"Ian, Jane, Steven",3,2:15,sunny,0-1',n/a,4:51,1,0,0,0,0,1,1,1,1,1,2,5,17,18,20,20,10,3,8,9,14,26,25,24,28,29,47,46,44,30,20,194,0,,0
7/3/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/4/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/6/15,"Jane, Lucas, Kounoa, Kona",4,2:15,sunny,0-1',n/a,2:29,7,7,5,4,4,4,4,4,4,4,4,4,8,12,19,19,24,36,32,38,43,23,38,34,37,30,41,60,51,44,13,391,0,,n/a
7/7/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/15,"Anthony, Kona",2,2:30,sunny,0-1',18,2:55,18,18,21,15,17,18,16,14,13,14,15,15,19,24,42,42,14,17,15,13,46,37,48,42,17,10,28,53,61,42,,350,0,,4
7/9/15,"Ian, Jane, Steven",1,2:15,"sunny, rainy",2-5',9,2:33,9,16,16,19,18,23,21,25,24,23,22,23,31,35,37,37,41,24,38,42,29,35,19,38,26,23,17,5,6,4,0,272,0,,10+
