#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 01 01 00 21 999 99.0 99.0  1.93 12.50  7.68 321 9999.0 999.0  25.3 999.0 99.0 99.00
2014 01 01 00 51 999 99.0 99.0  1.88 12.50  7.74 323 9999.0 999.0  25.3 999.0 99.0 99.00
2014 01 01 01 21 999 99.0 99.0  1.96 12.50  7.62 318 9999.0 999.0  25.4 999.0 99.0 99.00
2014 01 01 01 51 999 99.0 99.0  1.76 10.53  7.31 344 9999.0 999.0  25.4 999.0 99.0 99.00
2014 01 01 02 21 999 99.0 99.0  1.79 10.53  7.51 338 9999.0 999.0  25.3 999.0 99.0 99.00
2014 01 01 02 51 999 99.0 99.0  1.83 11.11  7.49 335 9999.0 999.0  25.3 999.0 99.0 99.00
2014 01 01 03 21 999 99.0 99.0  1.85 11.76  7.61 323 9999.0 999.0  25.3 999.0 99.0 99.00
2014 01 01 03 51 999 99.0 99.0  1.79 11.76  7.44 313 9999.0 999.0  25.3 999.0 99.0 99.00
2014 01 01 04 21 999 99.0 99.0  1.86 12.50  7.52 316 9999.0 999.0  25.3 999.0 99.0 99.00
2014 01 01 04 51 999 99.0 99.0  1.81 12.50  7.59 318 9999.0 999.0  25.3 999.0 99.0 99.00
2014 01 01 05 21 999 99.0 99.0  1.78 11.76  7.38 316 9999.0 999.0  25.3 999.0 99.0 99.00
2014 01 01 05 51 999 99.0 99.0  1.77 12.50  7.23 314 9999.0 999.0  25.3 999.0 99.0 99.00
2014 01 01 06 21 999 99.0 99.0  1.63 11.76  7.37 313 9999.0 999.0  25.2 999.0 99.0 99.00
2014 01 01 06 51 999 99.0 99.0  1.70 12.50  7.46 317 9999.0 999.0  25.3 999.0 99.0 99.00
2014 01 01 07 21 999 99.0 99.0  1.72 11.76  7.47 314 9999.0 999.0  25.2 999.0 99.0 99.00
2014 01 01 07 51 999 99.0 99.0  1.65 11.76  7.35 318 9999.0 999.0  25.2 999.0 99.0 99.00
2014 01 01 08 21 999 99.0 99.0  1.60  8.33  7.23  24 9999.0 999.0  25.2 999.0 99.0 99.00
2014 01 01 08 51 999 99.0 99.0  1.65 11.76  7.66 328 9999.0 999.0  25.2 999.0 99.0 99.00
2014 01 01 09 21 999 99.0 99.0  1.68 11.76  7.49 321 9999.0 999.0  25.2 999.0 99.0 99.00
2014 01 01 09 51 999 99.0 99.0  1.64 11.76  7.57 325 9999.0 999.0  25.2 999.0 99.0 99.00
2014 01 01 10 21 999 99.0 99.0  1.62 11.76  7.60 325 9999.0 999.0  25.2 999.0 99.0 99.00
2014 01 01 10 51 999 99.0 99.0  1.60 10.53  7.67 324 9999.0 999.0  25.2 999.0 99.0 99.00
2014 01 01 11 21 999 99.0 99.0  1.65  7.69  7.34  65 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 11 51 999 99.0 99.0  1.62 11.11  7.67 327 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 12 21 999 99.0 99.0  1.75 11.11  7.84 327 9999.0 999.0  25.1 999.0 99.0 99.00
