#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 02 01 39 999 99.0 99.0  2.23 13.33  7.23  17 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 02 02 09 999 99.0 99.0  2.21 12.50  7.33  19 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 02 02 39 999 99.0 99.0  2.34 13.33  7.56   6 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 02 03 09 999 99.0 99.0  2.14 13.33  7.17  10 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 02 03 39 999 99.0 99.0  2.40 11.76  7.46  24 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 04 09 999 99.0 99.0  2.45 13.33  7.64   8 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 04 39 999 99.0 99.0  2.45 11.76  7.78  22 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 05 09 999 99.0 99.0  2.31 13.33  7.66 355 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 05 39 999 99.0 99.0  2.28 12.50  7.67  17 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 06 09 999 99.0 99.0  2.35 11.76  7.78   8 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 06 39 999 99.0 99.0  2.23 12.50  7.43  15 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 07 09 999 99.0 99.0  2.17 13.33  7.43 359 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 07 39 999 99.0 99.0  2.26 11.76  7.79  17 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 08 09 999 99.0 99.0  2.12 10.53  7.18  23 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 08 39 999 99.0 99.0  2.56 11.11  7.93  26 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 09 09 999 99.0 99.0  2.28 11.11  7.46  33 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 09 39 999 99.0 99.0  2.30 11.11  7.68  17 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 10 09 999 99.0 99.0  2.27 11.76  7.41   8 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 10 39 999 99.0 99.0  2.14 11.11  7.32  12 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 11 09 999 99.0 99.0  2.05 11.11  7.30  16 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 11 39 999 99.0 99.0  2.24 10.53  7.82  20 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 12 09 999 99.0 99.0  2.07 11.11  7.56  26 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 12 39 999 99.0 99.0  1.97 11.76  7.51   8 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 13 09 999 99.0 99.0  2.17 11.11  7.99  23 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 13 39 999 99.0 99.0  2.05  9.88  7.81   8 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 14 09 999 99.0 99.0  1.94  9.88  7.43  23 9999.0 999.0  24.7 999.0 99.0 99.00
