#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 01 00 07 999 99.0 99.0  3.02  9.88  7.59 342 9999.0 999.0  24.7 999.0 99.0 99.00
2015 01 01 00 37 999 99.0 99.0  3.04  9.88  7.58 325 9999.0 999.0  24.7 999.0 99.0 99.00
2015 01 01 01 07 999 99.0 99.0  3.10 10.53  7.85 330 9999.0 999.0  24.7 999.0 99.0 99.00
2015 01 01 01 37 999 99.0 99.0  3.10 11.11  7.37 328 9999.0 999.0  24.7 999.0 99.0 99.00
2015 01 01 02 07 999 99.0 99.0  2.96  9.88  7.35 337 9999.0 999.0  24.7 999.0 99.0 99.00
2015 01 01 02 37 999 99.0 99.0  3.16  9.88  7.61 342 9999.0 999.0  24.7 999.0 99.0 99.00
2015 01 01 03 07 999 99.0 99.0  3.25 11.11  7.89 334 9999.0 999.0  24.7 999.0 99.0 99.00
2015 01 01 03 37 999 99.0 99.0  3.23  9.88  7.89 327 9999.0 999.0  24.7 999.0 99.0 99.00
2015 01 01 04 07 999 99.0 99.0  3.28 11.76  8.19 338 9999.0 999.0  24.7 999.0 99.0 99.00
2015 01 01 04 37 999 99.0 99.0  3.69 12.50  9.05 335 9999.0 999.0  24.7 999.0 99.0 99.00
2015 01 01 05 07 999 99.0 99.0  3.15 13.33  8.48 338 9999.0 999.0  24.7 999.0 99.0 99.00
2015 01 01 05 37 999 99.0 99.0  3.37 12.50  8.97 341 9999.0 999.0  24.7 999.0 99.0 99.00
2015 01 01 06 07 999 99.0 99.0  3.28 13.33  8.77 339 9999.0 999.0  24.7 999.0 99.0 99.00
2015 01 01 06 37 999 99.0 99.0  3.83 13.33  9.93 342 9999.0 999.0  24.6 999.0 99.0 99.00
2015 01 01 07 07 999 99.0 99.0  3.60 13.33  9.39 341 9999.0 999.0  24.6 999.0 99.0 99.00
2015 01 01 07 37 999 99.0 99.0  3.64 12.50  9.56 341 9999.0 999.0  24.6 999.0 99.0 99.00
2015 01 01 08 07 999 99.0 99.0  3.38 12.50  9.18 335 9999.0 999.0  24.6 999.0 99.0 99.00
2015 01 01 08 37 999 99.0 99.0  3.71 11.11  9.65 335 9999.0 999.0  24.6 999.0 99.0 99.00
2015 01 01 09 07 999 99.0 99.0  3.88 12.50 10.31 339 9999.0 999.0  24.6 999.0 99.0 99.00
2015 01 01 09 37 999 99.0 99.0  3.76 12.50  9.87 338 9999.0 999.0  24.6 999.0 99.0 99.00
