#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 01 00 07 999 99.0 99.0  2.94 14.29  9.32 323 9999.0 999.0  25.4 999.0 99.0 99.00
2016 01 01 00 37 999 99.0 99.0  3.18 15.38 10.17 327 9999.0 999.0  25.4 999.0 99.0 99.00
2016 01 01 01 07 999 99.0 99.0  2.76 15.38  9.25 324 9999.0 999.0  25.4 999.0 99.0 99.00
2016 01 01 02 07 999 99.0 99.0  2.68 15.38  9.65 321 9999.0 999.0  25.4 999.0 99.0 99.00
2016 01 01 02 37 999 99.0 99.0  2.91 14.29  9.82 320 9999.0 999.0  25.4 999.0 99.0 99.00
2016 01 01 03 07 999 99.0 99.0  3.03 14.29 10.22 321 9999.0 999.0  25.4 999.0 99.0 99.00
2016 01 01 03 37 999 99.0 99.0  2.72 15.38  9.60 325 9999.0 999.0  25.4 999.0 99.0 99.00
2016 01 01 04 07 999 99.0 99.0  2.74 15.38  9.38 330 9999.0 999.0  25.4 999.0 99.0 99.00
2016 01 01 04 37 999 99.0 99.0  2.64 14.29  9.67 330 9999.0 999.0  25.4 999.0 99.0 99.00
2016 01 01 05 07 999 99.0 99.0  3.04 14.29 10.20 327 9999.0 999.0  25.4 999.0 99.0 99.00
2016 01 01 05 37 999 99.0 99.0  2.86 14.29  9.96 323 9999.0 999.0  25.4 999.0 99.0 99.00
2016 01 01 06 07 999 99.0 99.0  2.80 13.33  9.74 324 9999.0 999.0  25.4 999.0 99.0 99.00
2016 01 01 06 37 999 99.0 99.0  2.66 13.33  9.65 323 9999.0 999.0  25.4 999.0 99.0 99.00
2016 01 01 07 07 999 99.0 99.0  2.78 14.29  9.52 313 9999.0 999.0  25.4 999.0 99.0 99.00
2016 01 01 07 37 999 99.0 99.0  2.59 14.29  9.58 325 9999.0 999.0  25.3 999.0 99.0 99.00
2016 01 01 08 07 999 99.0 99.0  2.72 14.29  9.90 323 9999.0 999.0  25.3 999.0 99.0 99.00
2016 01 01 08 37 999 99.0 99.0  2.69 13.33  9.80 317 9999.0 999.0  25.3 999.0 99.0 99.00
2016 01 01 09 07 999 99.0 99.0  2.58 13.33  9.48 316 9999.0 999.0  25.3 999.0 99.0 99.00
2016 01 01 09 37 999 99.0 99.0  2.56 14.29  9.82 318 9999.0 999.0  25.4 999.0 99.0 99.00
2016 01 01 10 07 999 99.0 99.0  2.46 13.33  9.57 316 9999.0 999.0  25.3 999.0 99.0 99.00
2016 01 01 10 37 999 99.0 99.0  2.46 13.33  9.41 313 9999.0 999.0  25.3 999.0 99.0 99.00
2016 01 01 11 07 999 99.0 99.0  2.62 13.33  9.68 321 9999.0 999.0  25.4 999.0 99.0 99.00
2016 01 01 11 37 999 99.0 99.0  2.37 12.50  9.51 325 9999.0 999.0  25.4 999.0 99.0 99.00
2016 01 01 12 07 999 99.0 99.0  2.47 11.76  9.24 321 9999.0 999.0  25.4 999.0 99.0 99.00
2016 01 01 12 37 999 99.0 99.0  2.31 14.29  9.17 316 9999.0 999.0  25.4 999.0 99.0 99.00
2016 01 01 13 07 999 99.0 99.0  2.52 13.33  9.60 320 9999.0 999.0  25.4 999.0 99.0 99.00
2016 01 01 13 37 999 99.0 99.0  2.43 13.33  9.22 325 9999.0 999.0  25.3 999.0 99.0 99.00
2016 01 01 14 07 999 99.0 99.0  2.61 13.33  9.56 324 9999.0 999.0  25.4 999.0 99.0 99.00
2016 01 01 14 37 999 99.0 99.0  2.61 13.33  9.74 320 9999.0 999.0  25.4 999.0 99.0 99.00
2016 01 01 15 07 999 99.0 99.0  2.41 14.29  9.24 330 9999.0 999.0  25.3 999.0 99.0 99.00
2016 01 01 15 37 999 99.0 99.0  2.65 13.33  9.70 320 9999.0 999.0  25.3 999.0 99.0 99.00
2016 01 01 16 07 999 99.0 99.0  2.76 14.29  9.77 324 9999.0 999.0  25.3 999.0 99.0 99.00
2016 01 01 16 37 999 99.0 99.0  2.76 13.33 10.21 325 9999.0 999.0  25.3 999.0 99.0 99.00
2016 01 01 17 07 999 99.0 99.0  2.57 12.50  9.57 325 9999.0 999.0  25.3 999.0 99.0 99.00
2016 01 01 17 37 999 99.0 99.0  2.57 14.29  9.66 321 9999.0 999.0  25.3 999.0 99.0 99.00
2016 01 01 18 07 999 99.0 99.0  2.79 14.29 10.04 324 9999.0 999.0  25.3 999.0 99.0 99.00
2016 01 01 18 37 999 99.0 99.0  2.36 13.33  9.34 321 9999.0 999.0  25.3 999.0 99.0 99.00
2016 01 01 19 07 999 99.0 99.0  2.52 14.29  9.88 323 9999.0 999.0  25.3 999.0 99.0 99.00
