#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 01 01 05 48 999 99.0 99.0  3.33 16.67 10.95 320 9999.0 999.0  24.4 999.0 99.0 99.00
2013 01 01 06 18 999 99.0 99.0  3.34 16.67 10.75 317 9999.0 999.0  24.3 999.0 99.0 99.00
2013 01 01 06 48 999 99.0 99.0  3.42 16.67 10.94 316 9999.0 999.0  24.3 999.0 99.0 99.00
2013 01 01 07 18 999 99.0 99.0  3.76 15.38 11.60 318 9999.0 999.0  24.3 999.0 99.0 99.00
2013 01 01 07 48 999 99.0 99.0  3.67 15.38 11.31 316 9999.0 999.0  24.2 999.0 99.0 99.00
2013 01 01 08 18 999 99.0 99.0  4.32 15.38 12.44 318 9999.0 999.0  24.2 999.0 99.0 99.00
2013 01 01 08 48 999 99.0 99.0  3.50 15.38 11.29 313 9999.0 999.0  24.3 999.0 99.0 99.00
2013 01 01 09 18 999 99.0 99.0  4.02 15.38 12.01 317 9999.0 999.0  24.3 999.0 99.0 99.00
2013 01 01 09 48 999 99.0 99.0  3.89 15.38 11.79 317 9999.0 999.0  24.3 999.0 99.0 99.00
2013 01 01 10 18 999 99.0 99.0  4.36 15.38 12.22 318 9999.0 999.0  24.3 999.0 99.0 99.00
2013 01 01 10 48 999 99.0 99.0  3.68 15.38 11.30 309 9999.0 999.0  24.3 999.0 99.0 99.00
2013 01 01 11 18 999 99.0 99.0  3.65 14.29 11.34 313 9999.0 999.0  24.3 999.0 99.0 99.00
2013 01 01 11 48 999 99.0 99.0  3.48 15.38 10.85 325 9999.0 999.0  24.3 999.0 99.0 99.00
2013 01 01 12 18 999 99.0 99.0  2.95 14.29 10.30 317 9999.0 999.0  24.2 999.0 99.0 99.00
2013 01 01 12 48 999 99.0 99.0  3.38 14.29 10.89 323 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 01 13 18 999 99.0 99.0  3.18 14.29 10.63 318 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 01 13 48 999 99.0 99.0  3.51 14.29 11.13 317 9999.0 999.0  24.2 999.0 99.0 99.00
2013 01 01 14 18 999 99.0 99.0  3.28 15.38 10.81 318 9999.0 999.0  24.4 999.0 99.0 99.00
2013 01 01 14 48 999 99.0 99.0  3.51 14.29 11.11 321 9999.0 999.0  24.4 999.0 99.0 99.00
2013 01 01 15 18 999 99.0 99.0  3.33 14.29 11.12 325 9999.0 999.0  24.4 999.0 99.0 99.00
2013 01 01 15 48 999 99.0 99.0  3.29 14.29 10.97 320 9999.0 999.0  24.3 999.0 99.0 99.00
2013 01 01 16 18 999 99.0 99.0  3.33 15.38 11.11 321 9999.0 999.0  24.3 999.0 99.0 99.00
2013 01 01 16 48 999 99.0 99.0  3.07 15.38 11.14 318 9999.0 999.0  24.4 999.0 99.0 99.00
2013 01 01 17 18 999 99.0 99.0  3.14 15.38 11.21 323 9999.0 999.0  24.3 999.0 99.0 99.00
2013 01 01 17 48 999 99.0 99.0  3.69 15.38 11.63 318 9999.0 999.0  24.2 999.0 99.0 99.00
2013 01 01 18 18 999 99.0 99.0  3.26 15.38 11.17 316 9999.0 999.0  24.3 999.0 99.0 99.00
2013 01 01 18 48 999 99.0 99.0  3.37 15.38 11.11 324 9999.0 999.0  24.3 999.0 99.0 99.00
2013 01 01 19 18 999 99.0 99.0  2.97 14.29 10.60 320 9999.0 999.0  24.3 999.0 99.0 99.00
2013 01 01 19 48 999 99.0 99.0  3.39 15.38 11.16 318 9999.0 999.0  24.3 999.0 99.0 99.00
2013 01 01 20 18 999 99.0 99.0  3.07 15.38 10.58 323 9999.0 999.0  24.3 999.0 99.0 99.00
2013 01 01 20 48 999 99.0 99.0  3.08 15.38 10.67 321 9999.0 999.0  24.3 999.0 99.0 99.00
2013 01 01 21 18 999 99.0 99.0  2.98 15.38 10.37 320 9999.0 999.0  24.2 999.0 99.0 99.00
2013 01 01 21 48 999 99.0 99.0  3.08 14.29 10.22 320 9999.0 999.0  24.2 999.0 99.0 99.00
2013 01 01 22 18 999 99.0 99.0  3.17 15.38 10.19 314 9999.0 999.0  24.2 999.0 99.0 99.00
2013 01 01 22 48 999 99.0 99.0  2.92 13.33  9.93 318 9999.0 999.0  24.2 999.0 99.0 99.00
2013 01 01 23 18 999 99.0 99.0  3.19 15.38 10.27 316 9999.0 999.0  24.2 999.0 99.0 99.00
2013 01 01 23 48 999 99.0 99.0  3.10 15.38  9.69 320 9999.0 999.0  24.2 999.0 99.0 99.00
2013 01 02 00 18 999 99.0 99.0  3.35 15.38 10.23 317 9999.0 999.0  24.2 999.0 99.0 99.00
2013 01 02 00 48 999 99.0 99.0  2.90 12.50  9.24 325 9999.0 999.0  24.2 999.0 99.0 99.00
2013 01 02 01 18 999 99.0 99.0  2.89 14.29  9.30 316 9999.0 999.0  24.2 999.0 99.0 99.00
2013 01 02 01 48 999 99.0 99.0  2.82 12.50  8.47 325 9999.0 999.0  24.2 999.0 99.0 99.00
2013 01 02 02 18 999 99.0 99.0  2.99 15.38  8.86 320 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 02 02 48 999 99.0 99.0  2.91 14.29  8.57 323 9999.0 999.0  24.0 999.0 99.0 99.00
2013 01 02 03 18 999 99.0 99.0  3.12 13.33  8.56 316 9999.0 999.0  24.0 999.0 99.0 99.00
2013 01 02 03 48 999 99.0 99.0  3.20 13.33  8.38 321 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 02 04 18 999 99.0 99.0  3.25 14.29  8.14 317 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 02 04 48 999 99.0 99.0  3.40 13.33  8.07 323 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 02 05 18 999 99.0 99.0  3.20 14.29  7.60 313 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 02 05 48 999 99.0 99.0  3.30 13.33  7.80 316 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 02 06 18 999 99.0 99.0  3.69 12.50  7.88 318 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 02 06 48 999 99.0 99.0  3.43 14.29  7.64 327 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 02 07 18 999 99.0 99.0  3.42 14.29  7.49 328 9999.0 999.0  24.0 999.0 99.0 99.00
2013 01 02 07 48 999 99.0 99.0  3.54 14.29  7.68 321 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 02 08 18 999 99.0 99.0  3.52 13.33  7.17 318 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 02 08 48 999 99.0 99.0  3.61 13.33  7.75 327 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 02 09 18 999 99.0 99.0  3.52 14.29  7.54 316 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 02 09 48 999 99.0 99.0  3.48 15.38  7.59 310 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 02 10 18 999 99.0 99.0  3.58 14.29  7.88 316 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 02 10 48 999 99.0 99.0  3.63 13.33  7.60 317 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 02 11 18 999 99.0 99.0  3.78  9.88  7.65   5 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 02 11 48 999 99.0 99.0  3.81 13.33  7.98 314 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 02 12 18 999 99.0 99.0  3.71 14.29  7.58 320 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 02 12 48 999 99.0 99.0  3.29 13.33  7.35 317 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 02 13 18 999 99.0 99.0  3.66 14.29  7.86 316 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 02 13 48 999 99.0 99.0  3.57 13.33  7.85 311 9999.0 999.0  24.0 999.0 99.0 99.00
2013 01 02 14 18 999 99.0 99.0  3.43 13.33  7.97 318 9999.0 999.0  24.0 999.0 99.0 99.00
2013 01 02 14 48 999 99.0 99.0  3.59 13.33  7.92 313 9999.0 999.0  24.0 999.0 99.0 99.00
2013 01 02 15 18 999 99.0 99.0  3.48  9.88  7.61 359 9999.0 999.0  24.1 999.0 99.0 99.00
2013 01 02 15 48 999 99.0 99.0  3.47 14.29  8.10 318 9999.0 999.0  24.0 999.0 99.0 99.00
2013 01 02 16 18 999 99.0 99.0  3.63 13.33  8.29 313 9999.0 999.0  24.0 999.0 99.0 99.00
2013 01 02 16 48 999 99.0 99.0  3.21 11.76  7.62 324 9999.0 999.0  24.0 999.0 99.0 99.00
2013 01 02 17 18 999 99.0 99.0  3.22 13.33  7.52 320 9999.0 999.0  23.9 999.0 99.0 99.00
2013 01 02 17 48 999 99.0 99.0  3.36 14.29  7.85 318 9999.0 999.0  23.9 999.0 99.0 99.00
2013 01 02 18 18 999 99.0 99.0  3.22 13.33  7.74 317 9999.0 999.0  23.9 999.0 99.0 99.00
2013 01 02 18 48 999 99.0 99.0  3.42 13.33  8.09 316 9999.0 999.0  23.9 999.0 99.0 99.00
2013 01 02 19 18 999 99.0 99.0  3.18 13.33  8.20 317 9999.0 999.0  23.9 999.0 99.0 99.00
2013 01 02 19 48 999 99.0 99.0  3.16 13.33  8.25 320 9999.0 999.0  23.9 999.0 99.0 99.00
2013 01 02 20 18 999 99.0 99.0  3.17 13.33  7.79 316 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 02 20 48 999 99.0 99.0  3.13 13.33  7.78 317 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 02 21 18 999 99.0 99.0  3.00 14.29  8.04 316 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 02 21 48 999 99.0 99.0  3.02 14.29  8.13 316 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 02 22 18 999 99.0 99.0  3.20 14.29  8.56 317 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 02 22 48 999 99.0 99.0  3.17 13.33  8.34 316 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 02 23 18 999 99.0 99.0  3.05 13.33  7.86 318 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 02 23 48 999 99.0 99.0  3.06 13.33  7.99 318 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 00 18 999 99.0 99.0  2.76 12.50  7.81 320 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 00 48 999 99.0 99.0  2.85  9.88  7.75  30 9999.0 999.0  23.9 999.0 99.0 99.00
2013 01 03 01 18 999 99.0 99.0  2.90 12.50  8.06 324 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 01 48 999 99.0 99.0  2.87 13.33  7.96 325 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 02 18 999 99.0 99.0  2.64 14.29  7.99 314 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 02 48 999 99.0 99.0  2.93 11.76  8.12 327 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 03 18 999 99.0 99.0  2.72 11.11  7.68 342 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 03 48 999 99.0 99.0  2.73 10.53  7.71   8 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 04 18 999 99.0 99.0  2.66 13.33  7.58 320 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 04 48 999 99.0 99.0  2.59 13.33  7.46 309 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 05 18 999 99.0 99.0  2.73  9.09  7.45  16 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 05 48 999 99.0 99.0  2.61 10.53  7.58 330 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 06 18 999 99.0 99.0  2.62 13.33  7.65 321 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 06 48 999 99.0 99.0  2.73 12.50  7.88 324 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 07 18 999 99.0 99.0  2.51 13.33  7.35 325 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 07 48 999 99.0 99.0  2.68 13.33  7.84 323 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 08 18 999 99.0 99.0  2.67 11.11  7.69 331 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 08 48 999 99.0 99.0  2.60 12.50  7.60 317 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 09 18 999 99.0 99.0  2.84 10.53  7.97 337 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 09 48 999 99.0 99.0  2.51 14.29  7.59 316 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 10 18 999 99.0 99.0  2.82 12.50  8.07 320 9999.0 999.0  23.7 999.0 99.0 99.00
2013 01 03 10 48 999 99.0 99.0  2.65 13.33  7.97 323 9999.0 999.0  23.7 999.0 99.0 99.00
2013 01 03 11 18 999 99.0 99.0  2.75 12.50  8.14 327 9999.0 999.0  23.7 999.0 99.0 99.00
2013 01 03 11 48 999 99.0 99.0  2.59 12.50  8.11 321 9999.0 999.0  23.7 999.0 99.0 99.00
2013 01 03 12 18 999 99.0 99.0  3.10 12.50  8.58 325 9999.0 999.0  23.7 999.0 99.0 99.00
2013 01 03 12 48 999 99.0 99.0  2.96 12.50  8.40 324 9999.0 999.0  23.7 999.0 99.0 99.00
2013 01 03 13 18 999 99.0 99.0  2.86 13.33  8.32 321 9999.0 999.0  23.7 999.0 99.0 99.00
2013 01 03 13 48 999 99.0 99.0  3.03 13.33  8.74 323 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 14 18 999 99.0 99.0  2.72 14.29  8.33 327 9999.0 999.0  23.7 999.0 99.0 99.00
2013 01 03 14 48 999 99.0 99.0  3.02 13.33  9.15 321 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 15 18 999 99.0 99.0  3.35 15.38  9.36 325 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 15 48 999 99.0 99.0  3.28 15.38  9.46 323 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 16 18 999 99.0 99.0  2.93 12.50  9.00 321 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 16 48 999 99.0 99.0  3.06 14.29  8.99 320 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 17 18 999 99.0 99.0  3.27 15.38  9.35 320 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 17 48 999 99.0 99.0  3.42 15.38  9.48 324 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 18 18 999 99.0 99.0  3.28 14.29  9.30 324 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 18 48 999 99.0 99.0  3.05 14.29  8.34 325 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 19 18 999 99.0 99.0  3.13 12.50  8.48 327 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 19 48 999 99.0 99.0  3.18 13.33  8.01 321 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 20 18 999 99.0 99.0  2.92 13.33  7.91 317 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 20 48 999 99.0 99.0  3.04 15.38  8.13 316 9999.0 999.0  23.7 999.0 99.0 99.00
2013 01 03 21 18 999 99.0 99.0  3.09 13.33  7.66 327 9999.0 999.0  23.7 999.0 99.0 99.00
2013 01 03 21 48 999 99.0 99.0  3.20 14.29  8.08 325 9999.0 999.0  23.7 999.0 99.0 99.00
2013 01 03 22 18 999 99.0 99.0  3.05 12.50  7.79 318 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 22 48 999 99.0 99.0  3.10 15.38  8.19 320 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 23 18 999 99.0 99.0  2.97 12.50  7.65 318 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 03 23 48 999 99.0 99.0  2.83 14.29  7.56 316 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 04 00 18 999 99.0 99.0  2.80 14.29  6.93 314 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 04 00 48 999 99.0 99.0  2.94 14.29  7.53 317 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 04 01 18 999 99.0 99.0  2.76 13.33  7.23 323 9999.0 999.0  23.9 999.0 99.0 99.00
2013 01 04 01 48 999 99.0 99.0  2.60  9.88  7.09   3 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 04 02 18 999 99.0 99.0  2.69 11.11  7.09 321 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 04 02 48 999 99.0 99.0  2.56 14.29  6.93 309 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 04 03 18 999 99.0 99.0  2.66 10.53  6.99 327 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 04 03 48 999 99.0 99.0  2.53 11.11  6.77 325 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 04 04 18 999 99.0 99.0  2.44 13.33  6.64 314 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 04 04 48 999 99.0 99.0  2.58 12.50  6.74 321 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 04 05 18 999 99.0 99.0  2.54 12.50  6.61 318 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 04 05 48 999 99.0 99.0  2.61 13.33  6.90 325 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 04 06 18 999 99.0 99.0  2.55 13.33  6.58 327 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 04 06 48 999 99.0 99.0  2.81 12.50  6.78 320 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 04 07 18 999 99.0 99.0  2.59 12.50  6.70 318 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 04 07 48 999 99.0 99.0  2.64 12.50  6.64 311 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 04 08 18 999 99.0 99.0  2.58 12.50  6.49 324 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 04 08 48 999 99.0 99.0  2.73 12.50  6.54 323 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 04 09 18 999 99.0 99.0  2.74 11.11  6.58 324 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 04 09 48 999 99.0 99.0  2.83 12.50  6.93 320 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 04 10 18 999 99.0 99.0  2.75 12.50  6.84 328 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 04 10 48 999 99.0 99.0  2.77 12.50  6.78 321 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 04 11 18 999 99.0 99.0  2.49 11.76  6.34 332 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 04 11 48 999 99.0 99.0  2.68 11.76  6.70 321 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 04 12 18 999 99.0 99.0  2.73 12.50  6.65 327 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 04 12 48 999 99.0 99.0  2.86 11.76  6.72 332 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 04 13 18 999 99.0 99.0  3.05  9.09  6.86  39 9999.0 999.0  23.7 999.0 99.0 99.00
2013 01 04 13 48 999 99.0 99.0  2.82 11.76  6.34 327 9999.0 999.0  23.8 999.0 99.0 99.00
2013 01 04 14 18 999 99.0 99.0  2.80  7.69  6.35  60 9999.0 999.0  23.7 999.0 99.0 99.00
2013 01 04 14 48 999 99.0 99.0  2.96 11.76  6.71 330 9999.0 999.0  23.7 999.0 99.0 99.00
2013 01 04 15 18 999 99.0 99.0  2.84 11.76  6.46 327 9999.0 999.0  23.7 999.0 99.0 99.00
2013 01 04 16 18 999 99.0 99.0  2.84 11.11  6.52 331 9999.0 999.0  23.7 999.0 99.0 99.00
2013 01 04 16 48 999 99.0 99.0  3.05 12.50  6.74 328 9999.0 999.0  23.7 999.0 99.0 99.00
2013 01 04 17 18 999 99.0 99.0  3.09 12.50  6.69 331 9999.0 999.0  23.6 999.0 99.0 99.00
2013 01 04 17 48 999 99.0 99.0  3.12 11.76  6.86 323 9999.0 999.0  23.6 999.0 99.0 99.00
2013 01 04 18 18 999 99.0 99.0  3.19 11.76  6.98 328 9999.0 999.0  23.6 999.0 99.0 99.00
2013 01 04 18 48 999 99.0 99.0  3.10 11.11  6.98 328 9999.0 999.0  23.6 999.0 99.0 99.00
2013 01 04 19 18 999 99.0 99.0  3.33 12.50  6.83 328 9999.0 999.0  23.7 999.0 99.0 99.00
